"X","Y","Z"
99.9106965,316.858786,272.710993
495.99187,141.435342,234.182171
535.341784,246.406664,204.252942
168.641573,516.301706,263.439445
346.271225,194.423997,66.6697879
556.798176,243.689725,116.088298
239.998821,124.906228,300.140051
502.694442,499.760614,297.185752
355.285365,492.212187,130.275819
132.734912,149.247269,55.2576914
399.761409,245.766717,189.557923
707.587702,451.737903,213.233362
42.2726468,73.3484297,259.491344
555.989915,273.005059,226.933468
238.179694,231.14739,270.473707
293.35401,215.594497,243.488191
463.260676,305.257371,169.331345
326.398006,443.394795,312.942628
181.835387,93.7077559,164.114771
192.608739,477.686916,76.1963024
258.416161,252.045024,68.6931456
654.782915,437.720169,88.7263122
337.45017,157.545281,49.1955075
118.031148,295.783588,49.3391595
75.4604779,73.6448435,43.7928094
183.642343,269.468105,310.29423
313.525426,169.596491,145.633907
598.779492,107.624528,30.9786735
559.334026,82.2641359,225.316933
152.144754,361.166725,39.7322795
152.672188,439.382015,57.7434018
397.880383,368.523698,18.9076078
476.867329,382.757833,5.32412742
640.93793,226.751602,234.105268
142.444091,517.830853,121.883052
504.213869,231.572196,158.753446
131.39521,398.671585,163.013578
301.799001,200.252268,240.964011
508.090825,318.535518,323.774077
603.805235,247.704125,177.124631
201.514761,316.06887,105.592831
179.629969,142.727148,295.002891
510.933702,247.824186,112.909712
275.307411,512.475777,75.622236
44.4440372,182.51141,40.6171841
676.12872,491.094048,302.287869
73.7533177,327.948372,256.999169
108.018713,254.2799,312.26474
700.010593,379.976339,251.280201
564.926481,202.771939,63.6099561
611.021565,342.600138,11.2567666
454.679399,373.866258,48.052767
245.682121,463.467339,202.688257
108.027504,144.95939,3.64535707
549.382907,180.467851,264.441772
531.041816,109.157724,203.546807
153.353706,435.87795,84.6056266
448.763921,348.408113,71.3325188
437.766792,182.930889,165.235822
416.652255,226.889286,69.4194766
650.493075,185.399806,310.539387
283.397973,234.910759,188.383529
132.055468,132.803313,291.95301
639.548396,367.572492,222.277996
383.210694,485.829185,226.979352
660.868119,103.88837,281.087798
276.193535,389.320709,32.4174707
64.917668,395.709379,44.7250491
466.533591,62.470104,312.060712
528.771614,324.200208,254.332507
402.35773,403.735357,24.2341555
423.305038,507.268197,66.6636239
630.9752,425.609156,239.172606
356.483423,447.816726,277.215874
227.884884,204.812734,147.899783
702.409328,362.340366,131.522468
564.105008,388.153394,197.869932
566.876254,76.7639205,280.910027
344.375104,59.906892,146.553414
471.85032,117.980677,116.208341
657.625078,52.9532149,111.447641
217.282193,513.12634,131.990995
642.302637,271.788018,52.7736081
685.143401,149.952372,194.685479
151.241727,189.472472,134.040584
226.71827,370.893835,269.377952
92.4940733,501.559226,117.329517
